COD_AUTOR,HOMONIMO,FORMATO,NOME,RESUMOS
29489,,Falcao CAM,CARLOS ALBERTO MONTEIRO FALCAO,PN1827
22662,,Bertoncelo CA,Carlos Alexandre Bertoncelo,PN0839
29405,,Vieira CAA,Carlos Alexandre de Araujo Vieira,PN1860
21235,,Davila-Sanchez CA,CARLOS ANDRES DAVILA-SANCHEZ,PN0409
28271,,Espinoza CAV,Carlos Andres Villavicencio Espinoza,"PN0164, PN1076"
26294,,Santos CAN,Carlos Antonio do Nascimento Santos,PN1197
25979,,Barbosa CAM,carlos augusto de melo barbosa,"PN0057, PN0339"
13763,,Pantoja CAMS,Carlos Augusto de Morais Souto Pantoja,AO0063
28993,,Lima CAS,CARLOS AUGUSTO DE SOUZA LIMA,PN1428
7907,,Barboza CAG,CARLOS AUGUSTO GALVÃO BARBOZA,PN0265
10687,,Nassar CA,Carlos Augusto Nassar,"PN0463, PN0879"
26426,,Botazzo C,Carlos Botazzo,PE020
28266,,Cavaleiro C,Carlos Cavaleiro,PN0079
16803,,Oliveira-Júnior CC,Carlos da Cunha Oliveira-Júnior,PN0459
951,,Eduardo CP,Carlos de Paula Eduardo,COL012
10563,,Araujo CRP,Carlos dos Reis Pereira de Araujo,PN1535
11036,,Silva CEA,Carlos Eduardo Avellar da Silva,"PN1865, PN1866"
28076,,Lameira CECM,Carlos Eduardo Castello da Motta Lameira,PI0609
12322,,Souza CECP,Carlos Eduardo Chrzanowski Pereira de Souza,PN1453
3034,,Bueno CES,Carlos Eduardo da Silveira Bueno,"PI0035, PN0019, PN0022, PN0030, PN0031, PN0032, PN0042, PN0043, PN0049, PN0052, PN0156, PN0333, PN0352, PN1255, PN1263, PN1292, PN1574"
28142,,Rezende CEE,Carlos Eduardo Edwards Rezende,"PN0135, PN0158"
12892,,Fontana CE,Carlos Eduardo Fontana,"PI0035, PN0019, PN0022, PN0031, PN0042, PN0043, PN0049, PN0156, PN0333, PN0352, PN1292, PN1574"
10301,,Francischone CE,Carlos Eduardo Francischone,"PI0482, PN0608"
27545,,Zanettini CEG,Carlos Eduardo Gazolla Zanettini,PN0288
29377,,Leite CE,Carlos Eduardo Leite,PN1450
25195,,Godoy CEM,Carlos Eduardo Misiak Godoy,PN0463
27332,,Makluf CEN,Carlos Eduardo Nassif Makluf,"PN0642, PN0643, PN0664, PN0673"
13792,,Luca CEP,Carlos Eduardo Pitta de Luca,PN1443
10835,,Miranda CES,Carlos Eduardo Saraiva Miranda,"PI0190, PI0534, PN1186, PN1272, PN1277, PN1559"
29050,,Costa CES,carlos eduardo silva da costa,PN0777
22055,,Saiki CET,Carlos Eduardo Takeshi Saiki,PI0325
1622,,Vergani CE,Carlos Eduardo Vergani,"PN0518, PN1116"
6483,,Estrela C,Carlos Estrela,"PI0033, PI0034, PI0184, PI0187, PI0260, PI0333, PI0335, PI0494, PI0496, PI0639, PI0659, PI0823, PN0026, PN0244, PN0336, PN0372, PN0489, PN0564, PN1247, PN1258, PN1273, PN1338, PN1575"
4824,H1,Santos CF,Carlos Ferreira dos Santos,"PN0341, PN0680"
26317,,Flores-Mir C,Carlos Flores-Mir,PN1368
2435,,Francci C,Carlos Francci,PN0162
22559,,Graeff CFO,Carlos Frederico de Oliveira Graeff,"AO0190, PI0107, PN1087"
29553,,Adorno CG,Carlos Gabriel Adorno,PN1580
3888,,Moreira CHC,Carlos Heitor Cunha Moreira,PN0882
27214,,Ferrari CH,Carlos Henrique Ferrari,"PN0021, PN0088"
53,,Martins CHG,Carlos Henrique Gomes Martins,"AO0104, PI0209, PN0079"
21069,,Pereira CH,Carlos Henrique Pereira,PN1746
2735,,Camargo CHR,Carlos Henrique Ribeiro Camargo,"PI0489, PN1260, PN1600"
21085,,Pereira CHR,Carlos Henrique Ribeiro Pereira,PN1117
17574,,Silva CJP,Carlos José de Paula Silva,"PN1351, PN1362"
27895,,Petry-Filho CJ,Carlos José Petry Filho,"PN0189, PN1046"
64,,Soares CJ,Carlos José Soares,"HA014, FC016, PI0126, PI0127, PI0427, PI0579, PI0714, PN0035, PN0160, PN0182, PN0416, PN0457, PN0618, PN0762, PN0812, PN1059, PN1062, PN1069, PN1077, PN1095"
11249,,Salles CLF,Carlos Luiz Fernandes de Salles,"PI0447, PI0749"
5497,,Figueredo CMS,Carlos Marcelo da Silva Figueredo,PN1470
2219,,Aguiar CM,Carlos Menezes Aguiar,PN0001
731,,Elias CN,Carlos Nelson Elias,"AO0133, PI0488"
26032,,Bueno CRE,Carlos Roberto Emerenciano Bueno,"AO0076, PN0425, PN1625"
2494,,Torres CRG,Carlos Rocha Gomes Torres,"PI0429, PI0583, PI0886, PN0106, PN0130, PN0133, PN0429, PN0442, PN0800, PN1080, PN1107, PN1130, PN1137, PN1301, COL014"
28402,,Roesler CRM,Carlos Rodrigo de Mello Roesler,AO0178
7004,,Rossa-Junior C,Carlos Rossa Junior,"PN0269, PN1487, PN1786"
13068,,Dias CTS,Carlos Tadeu dos Santos Dias,"PN0102, PN0105"
12203,,Andrade-Junior CV,Carlos Vieira Andrade Junior,PN0340
27654,,Pereira CW,Carlos Willian Pereira,PI0721
27386,,Santos CAO,Carlus Alberto Oliveira dos Santos,"PI0070, PI0653"
19301,,Bresolin CR,CARMELA RAMPAZZO BRESOLIN,PN1366
6241,,Catão CDS,Carmem Dolores de Sá Catão,PN1794
311,,Moura CDVS,Carmem Dolores Vilarinho Soares de Moura,"AO0119, PN0311, PN0796"
24114,,Bonfim CMS,Carmem Maria Sales Bonfim,"PI0667, PI0669, PI0671"
10873,,Dias CGBT,Carmen Gilda Barroso Tavares Dias,"PN0761, PN1114"
22639,,Rebelatto CLK,Carmen Lucia Kuniyoshi Rebelatto,PN0312
13794,,Storrer CLM,Carmen Lucia Mueller Storrer,PN0083
4628,,Carvalho CMRS,Carmen Milena Rodrigues Siqueira Carvalho,"PI0192, PN1245"
2883,,Busin CS,Carmen Sílvia Busin,PI0820
28158,,Lima CAF,carol avila fernandes lima,PI0045
28691,,Cartelli CA,Carolina Accorsi Cartelli,PN0620
29686,,Matte CAS,Carolina Alboleda Silva Matte,HA019
21338,,Algayer C,Carolina Algayer,PI0382
14809,,Rodrigues CA,Carolina Almeida Rodrigues,PN0861
28205,,Oliveira CAF,Carolina Alves Freiria de Oliveira,"PI0351, PI0501"
27732,,Moscardini CA,carolina alves moscardini,PI0170
29760,,Barros CA,Carolina Arrabal Barros,PN1418
2901,H2,Oliveira CA,Carolina Avila de Oliveira,"PN0516, PN0853, PN1142"
29119,,Andrade CB,Carolina Barbosa de Andrade,"PI0593, PN1656"
26042,,Vicari CB,Carolina Barbosa Vicari,PI0413
27324,,Dode CB,CAROLINA BORIO DODE,PN0975
24712,,Bruder C,Carolina Bruder,PN0660
20830,,Proietti CC,CAROLINA CARMINE PROIETTI,"AO0116, PI0521, PI0522"
18248,,Menezes CC,Carolina Carmo de Menezes,"PN0193, PN0988, PN1011"
1549,,Bortoletto CC,Carolina Carvalho Bortoletto,PN1322
6516,H2,Gomes CC,Carolina Cavalieri Gomes,"HA020, FC022, PN1424"
27727,,Adorno CC,Carolina Côcco Adorno,PI0129
19368,,Vogas CC,CAROLINA CONSIDERA VOGAS,"PN0681, PN0693"
28157,,Marchese CC,Carolina Cordeiro Marchese,"PN0931, PN1210"
28566,,Vasconcelos CCS,Carolina Cristina Silva Vasconcelos,PI0034
29075,,Pereira CCL,Carolina Cury Lopes  Pereira,PN0777
701,,Chaves CAL,Carolina de Andrade Lima Chaves,"PN0165, PN0622, PN1854"
26176,,Cardoso CBM,Carolina de Barros Morais Cardoso,PI0332
9665,,Castro C,Carolina de Castro,PI0439
4306,,Martins CC,Carolina de Castro Martins,"AO0008, AO0010, AO0016, PN0649, PN0655, PN0669, PN0718, PN0728, PN0903, PN0904, PN1179"
27905,,Pinto CFS,Carolina de Fatima Soares Pinto,"PI0097, PN1494"
28640,,Nogueira CG,Carolina de Gusmão Nogueira,"PI0409, PN0170"
25748,,Soares CM,carolina de moura soares,AO0119
14619,,Bruzamolin CD,Carolina Dea Bruzamolin,"PI0891, PN0867, PN1022, PN1240"
12175,,Leal CD,Carolina Dolabela Leal,PI0407
9078,,Santinoni CS,Carolina dos Santos Santinoni,"PI0834, PN1188, PN1799"
28505,,Dummel C,Carolina Dummel,"PI0388, PI0546, PI0859"
13214,,Esposti CDD,CAROLINA DUTRA DEGLI ESPOSTI,PN1810
28988,,Dallanora CF,Carolina Fernandes Dallanora,PO019
29384,,Ruiz CF,Carolina Fernandes Ruiz,"PI0062, PI0298"
14790,,Danieletto CF,Carolina Ferrairo Danieletto,"PN0216, PN0632, PN1551"
24379,,Oliveira CFP,Carolina Ferrari Piloni de Oliveira,PI0217
24831,,Azevedo CF,Carolina Franco de Azevedo,PN0236
19666,,Escobar CGN,Carolina Gealh Navarro Escobar,PN0181
27063,,Ferreira CJ,Carolina Jung Ferreira,"PI0469, PI0738"
23265,,Perufo CM,Carolina Maria Perufo,PI0835
26012,,Taguchi CMC,Carolina Mayumi Cavalcanti Taguchi,PN0157
22804,,Almeida CM,Carolina Medeiros de Almeida,"PN1295, PN1318, PN1607"
17622,,Maciel CM,Carolina Menezes Maciel,PN0679
21918,,Mordente CM,Carolina Morsani Mordente,PN1023
19117,,Arruda CNF,Carolina Noronha Ferraz Arruda,PN0205
27748,,Lima CO,CAROLINA OLIVEIRA DE  LIMA,"PI0768, PN1162"
26659,H1,Silva CO,CAROLINA OLIVER DA SILVA,PI0059
28159,,Silva CP,Carolina Peres da Silva,PN1683
26521,,Braz CPS,Carolina pio da silva braz,PI0044
26037,,Rivera CP,Carolina Poquechoque Rivera,PN1527
28777,,Ananias CRA,CAROLINA REBELLO ALVES ANANIAS,PI0285
25223,,Starling CR,Carolina Ribeiro Starling,PN0702
16989,,Santezi C,Carolina Santezi,"PN0395, PN1621"
28758,,Vidal CS,Carolina Santos Vidal,PI0629
24776,,Morsch CS,Carolina Schäffer Morsch,"PN1157, PN1845"
29554,,Cestari CS,Carolina Silva Cestari,PN1289
4171,,Lodi CS,Carolina Simonetti Lodi,"PN0997, PN1625"
26220,,Almeida CS,Carolina Souza Almeida,PN0785
751,,Steiner-Oliveira C,Carolina Steiner-Oliveira,COL012
24040,,Lima CV,Carolina Veloso Lima,PN1620
27956,,Lalau CV,Carolina Vicência Lalau,PI0895
27664,,Veloso CVL,Carolina Vieira Lucena Veloso,PI0011
22617,,Valadares CV,Carolina Vieira Valadares,PN1348
28994,,Sugio CYC,Carolina Yoshi Campos Sugio,"PI0735, PI0876"
21035,,Castro CA,Caroline Alves de Castro,PN0558
26555,,Balassiano C,Caroline Balassiano,PI0805
29817,,Nascimento CB,Caroline Barros do Nascimento,PI0828
27234,,Gonzalez CB,Caroline Brum Gonzalez,"PI0258, PI0584"
15405,,Mello CC,Caroline Cantieri de Mello,"PN1530, PN1539, PN1546, PN1851"
28761,,Reis CC,Caroline Carvalho Reis,PI0055
16668,,Mendonça CCSR,Caroline Corrêa da Silva Ramos Mendonça,PN0379
21459,,Schroeder CC,Caroline Cristina Schroeder,PN0640
28614,,Gomes CAA,Caroline de Almeida Azevedo Gomes,PN0419
24447,,Vermelho CC,Caroline de Castro Vermelho,PI0347
496,,Langlois CO,Caroline de Oliveira Langlois,"PO007, PI0252"
28611,,Riffel CDT,Caroline Dias Tams Riffel,"PI0230, PI0531, PI0597, PI0645, PN1009, PN1158"
5597,,Girelli CFM,Caroline Felipe Magalhães Girelli,PN1594
28507,,Weber CF,Caroline Francieli Weber,"PI0388, PI0546, PI0859"
17856,,Rafael CF,Caroline Freitas Rafael,"PN1157, PN1845"
27520,,Moro CG,Caroline Giorgi Moro,PI0275
12031,,Odo CH,Caroline Hanada Odo,PN1156
25281,,Renda CII,Caroline Ida Iuliano Renda,PI0821
28630,,Kusiak C,Caroline Kusiak,PN1780
27941,,Magnabosco C,Caroline Magnabosco,"PI0723, PN0994"
27829,,Lopes CMI,Caroline Maria Igrejas Lopes,PN0402
18531,,Souza CMC,Caroline Mathias Carvalho de Souza,"PN0148, PN0513"
25047,,Ota CM,Caroline Miki Ota,PN0823
17866,,Moriyama CM,caroline moraes moriyama,"PN0397, PN1381"
24541,,Auersvald CM,Caroline Moreira Auersvald,PI0462
28827,,Leitão CO,Caroline Oliveira Leitão,PN0478
11384,,Grando CP,Caroline Pietroski Grando,PN0714
24859,,Santos CP,Caroline Polli Santos,PE008
29459,,Couto CP,Caroline Pozzolini do Couto,PN1470
29893,,Piorski CR,Caroline Ribeiro Piorski,PN1434
8584,,Serrão CR,Caroline Ribeiro Serrão,"PI0176, PN1853"
24854,,Solda C,Caroline Solda,PN0059
28646,,Morgental CS,caroline sonego morgental,PN0445
21360,,Alves CV,Caroline Vieira Alves,PN0657
29771,,Maluf CV,Caroline Vieira Maluf,PN1095
9105,,Zamin C,Caroline Zamin,"PN1262, PN1502, PN1584"
23239,,Zanesco C,Caroline Zanesco,PN0059
19446,,Zimmermann C,Caroline Zimmermann,PN1829
27582,,Silva CAC,carolinne almeida coelho e silva,PI0221
25743,H1,Costa CA,Carollyne Andrade Costa,PI0009
29530,,Almeida CAP,CASIMIRO ABREU POSSANTE DE ALMEIDA,PN1728
22580,,Toia CC,Cassia Cestari Toia,"PI0342, PN0342"
4421,,Garbelini CCD,CÁSSIA CILENE DEZAN GARBELINI,"PI0056, PI0513"
16448,,Araujo CF,Cássia Fernandes Araujo,"PN0874, PN1775"
15098,,Grillo CM,Cássia Maria Grillo,AO0199
25380,,Bergamaschi CMT,Cássia Marta de Toledo Bergamaschi,"PN1303, PN1633"
25469,,Scotti CK,Cassiana Koch Scotti,PN0441
29681,,Brochier CW,Cassiane Wigner Brochier,PI0090
1155,,Nonaka CFW,Cassiano Francisco Weege Nonaka,"PI0049, PI0052, PI0222, PI0515, PI0610, PN0233, PN0265, PN0266, PN0273, PN0317, PN0570, PN0983, PN1416"
2548,,Rosing CK,Cassiano K Rosing,"PI0389, PN1180, PN1187, PN1475, PN1478, PN1498, JL002"
15160,,Chaiben CL,Cassiano Lima Chaiben,"PI0365, PI0822"
25771,,Oliveira CAZ,Cássio Alexandre Zeri de Oliveira,PI0290
3219,,Nascimento C,Cássio do Nascimento,"PN0837, PN1168"
29323,,Medeiros CIS,Cássio Ilan Soares Medeiros,PN1298
21154,,Kampits C,Cassio Kampits,PN1187
13940,,Santos CRR,Cássio Roberto Rocha dos Santos,PI0681
16789,,Scardueli CR,Cássio Rocha Scardueli,"PI0075, PI0909"
4680,,Pereira CV,Cássio Vicente Pereira,"PI0132, PN0382"
15571,,Torres-Pereira CC,Cassius Carvalho Torres-Pereira,"PE007, PE010, PI0082, PI0246, PI0667, PI0669, PI0671, PN1454, PN1782"
22960,,Tahim CM,Catarina Martins Tahim,PN1795
22024,,Bezerra CP,Catarina Pires Bezerra,"PI0270, PN0173, PN0458"
9611,,Alencar CRB,Catarina Ribeiro Barros de Alencar,AO0081
25113,,Oliveira CRR,CATARINA RODRIGUES ROSA DE OLIVEIRA,PN1445
26358,,Guerra CMF,Cátia Maria Fonseca Guerra,"PO022, PI0393"
26898,,Santos CN,Catielma Nascimento Santos,PN1408
9075,,Tavares CO,Cauana Oliva Tavares,PN0215
7371,H2,Costa CA,Cauby Alves da Costa,PN1054
6134,,Chaves-Júnior CM,Cauby Maia Chaves Júnior,"PI0140, PI0244, PN1694"
6099,H1,Carvalho CN,Ceci Nunes Carvalho,"PI0037, PI0263, PN0033, PN0047, PN0428, PN0446"
23893,,Sousa CA,Cecília Alves de Sousa,"HA017, PI0169"
10691,,Ribeiro CCC,Cecilia Claudia Costa Ribeiro,"AO0004, AO0029, PI0901, PN0070, PN0700, PN1312, PN1385, PN1469, PN1630, PN1644, PN1784"
610,,Pereira-Stabile CL,Cecília Luiz Pereira-Stabile,PI0005
2421,,Turssi CP,Cecilia Pedroso Turssi,"PI0042, PI0129, PI0196, PI0267, PI0273, PI0276, PI0277, PI0349, PI0421, PI0426, PI0650, PI0734, PI0872, PI0877, PI0878, PI0882, PN0119, PN0125, PN0417, PN0596, PN0772, PN0806, PN1540"
27889,,Vasconcelos CVM,Cecília Vilela Matias Vasconcelos,PI0869
25790,H1,Silva CM,Cecy Martins Silva,"PI0266, PN0732, PN0761, PN0807, PN1114, PN1120"
29663,,Kleverlaan CJ,Cees Johannes Kleverlaan,PN0856
29891,,Maia CMF,Célia Márcia Fernandes Maia,PI0061
151,,Lopes CMCF,Celia Maria Condeixa de França Lopes,PN1357
4478,,Castro CMMB,CÉLIA MARIA MACHADO BARBOSA DE CASTRO,PN0405
11490,,Rizzatti-Barbosa CM,Célia Marisa Rizzatti-Barbosa,"AO0199, PN0829, PN0845"
26331,,Franco CRC,Celia Regina Cavichiolo Franco,PI0662
24510,,Pinzan-Vercelino CRM,Celia Regina Maio Pinzan-Vercelino,"PI0760, PN0174, PN0952, PN1016, PN1389"
6855,,Lanza CRM,Célia Regina Moreira Lanza,PI0098
2375,,Lima CF,Celina Faig Lima,PN1751
9131,,Abreu CW,Celina Wanderley de Abreu,"PI0085, PI0472"
5642,,Prado CJ,Celio Jesus do Prado,"PI0409, PN0013, PN0616, PN0737, PN0862"
5080,,Percinoto C,Célio Percinoto,"FC013, PN0647, COL006, COL009"
686,,Klein-Júnior CA,Celso Afonso Klein-Júnior,"PN0488, PN0768, PN0824, PN1589"
69,,Lemos-Júnior CA,Celso Augusto Lemos-Júnior,"PN0579, PN1454"
2487,,Souza-Filho CB,Celso Bernardo de Souza Filho,PN1571
20950,,Pedrosa-Filho CF,Celso de Freitas Pedrosa Filho,PN0754
40,,Sonoda CK,Celso Koogi Sonoda,"PI0795, PN0016, PN0634"
12452,,Queiroz-Junior CM,Celso Martins Queiroz-Junior,PN0090
11137,,Campos CN,Celso Neiva Campos,"FC020, PI0336, PN0332, PN0538"
23359,,Passeri CR,Celso Roberto Passeri,"AO0053, AO0055, PI0554, PI0851, PN0926, PN0930, PN0931, PN0933, PN1210, PN1212, PN1220, PN1222"
5224,,Queiroz CS,Celso Silva Queiroz,"PN1865, PN1866"
26852,,Caporossi C,Cervantes caporossi,PN1316
17391,,Lascala CA,Cesar Angelo Lascala,AO0153
27910,,Pereira CAA,César Augusto Abreu Pereira,"PO001, PI0543, PI0901, PN0255, PN0700"
1162,,Arrais CAG,César Augusto Galvão Arrais,"PI0166, PN0213, PN0858"
9359,,Benfatti CAM,Cesar Augusto Magalhães Benfatti,"PI0323, PI0326, PI0479, PN1541, PN1857, PN1867"
4049,,Bataglion C,César Bataglion,"PN0211, PN0838, PN1173"
8830,,Bergoli CD,César Dalmolin Bergoli,PN1177
29443,,Lopez CC,cesar del castillo lopez,PN1820
6695,,Perez CR,Cesar dos Reis Perez,"PI0568, PI0570"
1728,,Lepri CP,Cesar Penazzo Lepri,"AO0173, AO0180, PI0566, PN1613, PN1632, PN1813"
3146,,Pucci CR,César Rogério Pucci,"PN0130, PN0133, PN0145, PN0210, PN0455, PN0740, PN1107"
17113,,Casotti CA,Cezar Augusto Casotti,PI0691
28636,,Souza CAP,CEZAR AUGUSTO PEREIRA DE SOUZA,PI0290
10788,,Piovesan C,Chaiana Piovesan,"PI0151, PI0856"
29263,,Santos CB,Chaiene Barboza dos Santos,PN1387
29010,,Borda CC,Charlotte Cesty Borda,PI0359
25417,,Silva-Júnior CA,Charry Alves da SIlva Júnior,PN0788
28176,,Fai CK,CHEUNG KA FAI,PN1094
27281,,Bueno CC,Cheyenne Coscia Bueno,PI0526
7501,,Shen C,Chiayi Shen,"PN0137, PN0467, PN0481, PN0795"
29084,,Tan CW,Ching Wen Tan,PI0114
25332,,Santos CA,Christian Alves dos Santos,PI0004
27366,,Wendt CL,christian lourival wendt,PI0571
21444,,Jarry CR,Christian Rado Jarry,"PN0714, PN1472, PN1477"
23294,,Barreto CMT,Christiane Marques Tavares Barreto,PN1082
13975,,Borges CPF,CHRISTIANE PHILIPPINI FERREIRA BORGES,PN0858
12265,,Cruz CV,Christiane Vasconcellos Cruz,"AO0019, PN1032, PN1036, PN1342, PN1376"
29476,,Semedo CV,Christianno Vinicius Semedo,"PN1840, PN1842"
6653,,Oliveira-Santos C,Christiano Oliveira-Santos,AO0180
4237,,Leite-Panissi CRA,Christie Ramos Andrade Leite-Panissi,PN1294
8702,,Lindh C,Christina Lindh,AO0127
27256,,Pedroza CB,Christine Barbary Pedroza,PI0893
12372,H2,Martins CM,Christine Men Martins,PN0634
23313,,Carvalho CBM,Cibele Barreto Mano de Carvalho,COL003
24478,,Campagnolo CB,Cibele Bruno Campagnolo,"PN0882, PN1624"
17847,,Kintopp CA,Cibele de Almeida Kintopp,PN0158
14629,,Rocha COM,Cibele Oliveira de Melo Rocha,"AO0205, PN0541"
25695,,Aleixo CSS,Cibelle Sousa Silva Aleixo,"PI0506, PI0808"
29853,,Freitas CK,Cicero Kennedy de Freitas,PN1416
6372,,Gadê-Neto CR,Cícero Romão Gadê Neto,PN1598
25348,,Slomp C,Cilea Slomp,"PN0159, PN0215"
24836,,Velho CM,Cinara Muniz Velho,"PN0735, PN0769, PN0778"
29770,,Uehara CM,cindi mie uehara,FC001
17466,,Barbosa CF,Cindy Ferreira Barbosa,AO0142
15285,,Dodo CG,Cindy Goes Dodo,"AO0134, PI0175"
25060,,Perez-Pacheco CG,CINDY GRACE PEREZ-PACHECO,"PI0051, PN0606"
19720,,Lisboa CO,Cinthia de Oliveira Lisboa,"PI0451, PN1404, PN1674"
16397,,Cunha CMBL,Cinthia Maria Baggio de Luca da Cunha,"PN0411, PN1357"
5120,,Tabchoury CPM,Cínthia Pereira Machado Tabchoury,"AO0093, AO0096, PN0805, PN1392, PN1620, PN1631, PN1709"
19322,,Kubo CS,Cinthia Sawamura Kubo,AO0185
724,H1,Gomes CC,Cinthya Cristina Gomes,"PN0077, PN1617"
28167,,Ferreira CA,Cintia Almada Ferreira,PI0598
19420,,Gouveia CL,Cíntia de Lima Gouveia,"PI0050, PI0054, PN1079, PN1108"
10235,,Saraceni CHC,Cintia Helena Coury Saraceni,"PI0270, PN0173, PN0458, PN0474, PN0766, PN1311"
29840,,Leal CRL,Cintia Raquel Lima Leal,PN1723
24466,,Schiochett C,CINTIA SCHIOCHETT,PN0890
8873,,Araújo CTP,Cíntia Tereza Pimenta de Araújo,"PI0582, PN0749, PN0791, PN1128"
16225,,Zenkner CLL,clacir de lourdes londero zenkner,PN0061
29490,,Brahim CB,Clara Barboza Brahim,PI0762
28275,,Bonachela CF,Clara Fassoni Bonachela,PN1076
29230,,Oliveira CFV,Clara Fernandes Viana de Oliveira,PI0160
27213,,Cunha CP,Clara Possarle Cunha,"PI0528, PI0833"
22988,,Silva CRD,Clara Regina Duarte Silva,"PI0395, PN1223"
27781,,Ebenriter CST,Clara São Thiago Ebenriter,PI0284
24378,,Silva CG,Clariana Goes da Silva,PN1522
10783,,Galvao CF,Clarice Ferreira Galvao,PN1424
29154,,Reis CMR,Clarice Magalhães Rodrigues dos Reis,PN1499
29461,,Brasil C,Clarissa Brasil,PI0690
4192,,Bonifácio CC,Clarissa Calil Bonifácio,PN1638
6991,,Parolo CCF,CLARISSA CAVALCANTI FATTURI PAROLO,"HA004, AO0101"
22224,,Fernandez CCA,Clarissa Christina Avelar Fernandez,AO0019
29544,,Kantz CF,Clarissa Ferreira Kantz,PN1410
19494,,Drumond CL,Clarissa Lopes Drumond,"PN1685, PN1690"
29572,,Vieira CL,Clarissa Lopes Vieira,PN1644
21530,,Abruzzi CM,Clarissa Martensen Abruzzi,PO011
27314,,Siqueira CFO,Claudeir Felipe de Oliveira Siqueira,PN0558
28191,,Valduga CJ,Claudete Justina Valduga,"AO0190, PN0426"
24847,,Pimenta CA,CLAUDIA ALINE PIMENTA,"AO0131, PE006"
11592,,Volpato CAM,Cláudia Ângela Maziero Volpato,"PI0164, PI0474, PI0477, PN0202, PN1157, PN1484"
24145,,Cardoso CAA,CLAUDIA ASSUNÇÃO E ALVES CARDOSO,"PN0592, PN1444"
4437,,Pinto CA,Cláudia Auxiliadora Pinto,PI0040
29540,,Mélo CB,Cláudia Batista Mélo,PI0510
3523,,Santos-Daroz CB,Cláudia Batitucci Santos-Daroz,"PN1290, PN1578"
2161,,Brasileiro CB,Cláudia Borges  Brasileiro,PN0569
24662,,Lopes CCP,Claudia Camila Peruzzo Lopes,PN0879
11093,,Lira CC,Claudia Cazal Lira,PN1808
19992,,Medeiros CCBM,Claudia Christianne Barros de Melo Medeiros,"PI0551, PI0699"
12492,,Biguetti CC,Cláudia Cristina Biguetti,PI0631
29677,,Curra C,Cláudia Curra,PI0062
11041,,Rizzi CC,claudia de castro rizzi,PI0037
25986,H2,Silva CF,Claudia Fernanda da Silva,PI0331
10274,H2,Santos CF,Cláudia Ferreira Santos,"PN1343, PN1716"
1410,,Silva-Lovato CH,Claudia Helena Silva-Lovato,"AO0170, PN0205, PN0519, PN0525, PN0837, PN0852"
3377,,Freitas CHSM,CLÁUDIA HELENA SOARES DE MORAIS FREITAS,PN1520
25017,,Huck C,Claudia Huck,AO0058
15354,,Gomes CLR,Cláudia Lobelli Rangel Gomes,PI0130
15021,,Bhering CLB,Cláudia Lopes Brilhante Bhering,"AO0208, PN0849, PN1839"
28039,,Ferreira CLR,Cláudia Luísa Ribeiro Ferreira,PN1605
57,,Alves CMC,Cláudia Maria Coêlho Alves,"AO0029, PN0070, PN0162, PN0456, PN1469, PN1630, PN1784"
17398,,Raposo CMO,Cláudia Maria de Oliveira Raposo,PI0863
28220,H2,Pereira CM,Cláudia Maria Pereira,AO0125
24260,,Silva CMT,Claudia Maria Tavares da Silva,PN0705
17410,,Pagliarin CML,claudia medianeira londero pagliarin,PN0061
16270,,Rothbarth CP,Cláudia Pires Rothbarth,"PI0334, PN1268"
29044,,Azevedo CS,Cláudia Said Azevedo,PI0353
23171,,Valerio CS,Claudia Scigliano Valerio,"PN1444, PN1758"
4158,,Magalhães CS,Cláudia Silami Magalhães,"PN0798, PN0802, PN1133"
14518,,Mattos CT,Claudia Trindade Mattos,"AO0018, PI0451, PN0677, PN0702, PN1336, PN1342, PN1348, PN1404, PN1674"
27008,,Maurer-Morelli CV,CLAUDIA VIANNA MAURER-MORELLI,AO0033
20490,,Pellissari CVG,Cláudia Viviane Guimarães Pellissari,PN1116
25966,,Figueiredo C-F-G-,Claudio - Fernando - Guimarães - Figueiredo,"PN0953, PN0995"
2183,,Carvalho CAT,Claudio Antonio Talge Carvalho,"FC003, AO0069, PN0073, PN0363, PN1600, PN1605"
7080,,Casatti CA,claudio aparecido casatti,"PI0765, PN0016, PN0223, PN0327"
363,,Costa C,Claudio Costa,"PI0270, PI0634, PN0173, PN0261, PN0549, PN0563, PN1217, PN1451, PN1755, PN1757, PN1797"
28593,,Casagrande CEG,claudio eli garcia casagrande,PN0976
17387,,Freitas CF,Claudio Fróes de Freitas,"PN0554, PN1363, PN1654"
24487,,Girelli-Junior C,CLAUDIO GIRELLI JUNIOR,PN1190
194,,Silva CHV,Claudio Heliomar Vicente Da Silva,"PI0122, PN1068, PN1117, PN1134"
17503,,Amante CJ,Claudio José Amante,PI0896
29390,,Sá CL,Claudio Loredo de Sá,PI0097
19433,,Machado CMC,Cláudio Manoel Cabral Machado,PN1005
6499,H1,Pereira CM,Claudio Maranhão Pereira,PN0244
22613,,Marcantonio C,Claudio Marcantonio,PN0607
17276,,Pereira CMP,Claudio Martin P. Pereira,FC009
1227,,Pannuti CM,Claudio Mendes Pannuti,"PI0687, PN1201"
9990,,Costa-Neto CM,Claudio Miguel da Costa Neto,PN0939
28718,,Moreira-Júnior C,Cláudio Moreira Júnior,PN0430
3196,,Leles CR,Cláudio Rodrigues Leles,"AO0127, PI0473, PI0623, PI0627, PI0772, PN0546, PN1176, PN1746, PN1759, PN1825"
