COD_AUTOR,HOMONIMO,FORMATO,NOME,RESUMOS
28964,,Leal AY,Adriana Yamashita Leal,"PN0308, PN0606"
29493,,Ledur A,Adriane Ledur,PI0441
8045,,Togashi AY,Adriane Yaeko Togashi,"PN0276, PN0598"
23905,,Paula ACF,Adrianne Calixto Freire de Paula,PN0053
8587,,Mendonça AAM,adriano augusto melo mendonça,"PN1115, PN1124"
29569,,Miranda ACC,Adriano César Costa de Miranda,PN1858
2706,,Lima AF,Adriano Fonseca de Lima,"PN0107, PN0148"
27522,,Garcia AL,Adriano Lima Garcia,PI0309
18236,,Teixeira AMU,Adriano Marcus Urizzi Teixeira,PN0113
29034,,Penna AP,Adriano Paulo Penna,PI0708
25363,,Piccolotto A,Adriano Piccolotto,PN0598
7362,,Hoshi AT,Adriano Tomio Hoshi,COL005
3695,,Petta AT,Adriano Toso Petta,PI0664
28987,,Fernandes AD,adriany dias fernandes,"PI0069, PI0521"
24605,,Rocha AT,ADRÍCYLA TEIXEIRA ROCHA,"PN0292, PN1389"
18519,,Araújo AS,Adriele Silveira Araújo,PN1659
21688,,Neves AP,Adrieli de Paula Neves,PN1799
17791,,Santos AM,Adrielle Mangabeira Santos,"PI0750, PI0892, PN1350, PN1696"
29350,,Gomes AMP,Adrielle Mendes de Paula Gomes,"PN1509, PN1832"
24506,,Rodrigues AAB,Aélcia Antônia Borges Rodrigues,PN0697
19897,,Andreotti AM,Agda Marobo Andreotti,"HA016, HA018"
27697,,Osório A,Agenor Osório,PN0654
5150,,Assao A,AGNES ASSAO,"FC019, PI0218, PI0374"
29460,,Meireles AB,Agnes Batista Meireles,PN0791
4944,,Pereira AFF,Agnes de Fátima Faustino Pereira,"PN0686, PN1521, PN1622"
27991,,Silva ACM,Agtha Christie Moreira Silva,"PI0799, PN1291"
6971,,Garcez AS,Aguinaldo Silva Garcez,"PI0907, PN1285"
28043,,Pontes AA,Aída Albuquerque Pontes,PI0112
29682,,Santos AJF,Aída Juliane Ferreira dos Santos,PN1811
29804,,Hanan ARA,Aida Renée Assayag Hanan,PN1271
28098,,Leal AMC,Aila Maria Cipriano Leal,"AO0005, PI0146, PI0589"
878,,Lancellotti ACRA,Ailla Carla Rocha Acosta Lancellotti,"PI0278, PI0731, PI0864, PN0191, PN0486, PN0804"
2793,,Guiotti AM,Aimée Maria Guiotti,"HA018, PI0778, PN0036, PN0460, PN0526"
18455,,Messias AM,Aion Mangino Messias,"PN0539, PN0848"
29256,,Conde-Júnior AM,Airton Mendes Conde Júnior,PN1492
29778,,Segundo AVL,Aírton Vieira Leite Segundo,PN1152
28967,,Santiago AS,AITANA SANTOS SANTIAGO,PI0840
29908,,Avelar AIS,Akássia Ingredy Sevirino Avelar,PI0742
16907,,Gonçalves A,ALAIDE GONÇALVES,"HA023, PI0466"
2145,,Palialol ARM,Alan Rodrigo Muniz Palialol,"PN0107, PN0148"
6358,,Silva ARS,Alan Roger dos Santos Silva,PN1131
29813,,Pinto ABA,Alana Barbosa Alves Pinto,PI0248
26302,H2,Oliveira AC,Alana Carvalho de Oliveira,PN1347
27115,H3,Machado AC,Alana Cristina Machado,PI0297
21114,,Azevedo ACS,Alana de Cassia Silva Azevedo,"PN1217, PN1218, PN1232"
27576,H1,Pereira AC,Alana de Castro Pereira,PN0469
27738,,Disarz A,Alana Disarz,PI0790
9975,,Lima AKMMN,Alana Kelly Maia Macedo Nobre de Lima,PI0048
29495,,Danielli AL,Alana Louise Danielli,PI0441
23317,,Dantas AMX,Alana Moura Xavier Dantas,PN1846
28900,H1,Santos AS,Alana Silva Santos,PI0386
25434,H2,Fernandes A,Alane Fernandes,PI0134
29078,,Nascimento ASB,Alane Sonally Benício do Nascimento,PN0326
22291,,Freitas AT,Albano Teixeira Freitas,"PN0360, PN1104"
367,H2,Delbem ACB,Alberto Carlos Botazzo Delbem,"FC013, FC017, AO0002, PI0448, PI0753, PI0814, PN0647, PN0658, PN0984, PN0997, PN1017, PN1020, PN1026, PN1028, PN1323, PN1347, COL001, COL004, COL006, COL009"
3698,,Consolaro A,Alberto Consolaro,PN0361
29779,,Gurgel AC,Alberto Costa Gurgel,FC027
6611,,Kojima AN,Alberto Noriyuki Kojima,"PI0470, PN0224, PN0303, PN0766, PN0779"
4807,,Altemani A,Albina Altemani,"PN0238, PN0247"
22811,,Sousa AM,Alceu Machado de Sousa,PI0523
19916,,Netto AAS,Alcides Augusto Salzedas Netto,PN0721
3672,,Gonini-Júnior A,ALCIDES GONINI JÚNIOR,"PN0126, PN0835, PN0839, PN1060, PN1071, PN1270, PN1334, PN1533"
25658,,Santos AF,Aldenir Feitosa dos Santos,PI0198
1706,,Pesqueira AA,Aldiéris Alves Pesqueira,"HA018, PI0633, PN1529"
27939,,Cordeiro AS,Aldir da Silva Cordeiro,PN0664
7313,,Dias AA,Aldo Angelim Dias,PN0003
15469,H1,Silva AM,Alecsandro de Moura Silva,PN0482
20597,,González AHM,Alejandra Hortencia Miranda González,"AO0188, AO0190, PI0712, PN1087"
27747,,Pérez A,Alejandro Pérez,"PN0067, PN0335, PN1265"
4590,,Medrado ARAP,Alena Ribeiro Alves Peixoto Medrado,"PI0364, PN1413, PN1764"
4686,,Vanderlei AD,Aleska Dias Vanderlei,"PI0198, PI0567, PN1427, PN1445, PN1458, PN1769"
24606,,Pontes A S,Alessandra  Silva Pontes,"AO0005, PI0141, PI0146, PI0434, PI0589, PI0740, PN0958, PN1003"
29740,,Resende AAP,ALESSANDRA APARECIDA PRADO RESENDE,PI0450
22596,H2,Souza AA,ALESSANDRA AREAS E SOUZA,"PI0073, PN1470, PN1485"
27688,,Lopes AB,Alessandra Barreto Lopes,PN1204
1132,,Borges AB,Alessandra Bühler Borges,"PI0429, PI0583, PI0886, PN0106, PN0130, PN0133, PN0179, PN0429, PN0442, PN1107, PN1301, COL014"
2295,,Cassoni A,Alessandra Cassoni,"PN0795, PN0818"
4120,H1,Machado AC,Alessandra Cury Machado,PN0079
27985,,Freitas AS,alessandra da silva freitas,"PI0369, PN0440"
22755,,Dahmer A,Alessandra Dahmer,PE004
20480,,Carvalho AAT,Alessandra De Albuquerque Tavares Carvalho,"PI0095, PN1431"
11824,,Silva AD,Alessandra Dutra da Silva,PI0376
29105,,Souza AF,Alessandra Figueiredo de Souza,PN1806
27398,,Schuster AJ,Alessandra Julie Schuster,"AO0138, AO0149, AO0210"
27270,,Belani AL,ALESSANDRA LEGASPE BELANI,PN0973
25666,,Lorenzoni A,Alessandra Lorenzoni,PI0131
9820,,Castro AM,Alessandra Maia de Castro,"PI0437, PI0444"
28390,,Cardoso AM,Alessandra Manchini Cardoso,PN1260
8120,,Aranega AM,Alessandra Marcondes Aranega,"AO0152, AO0162, PI0004, PI0464, PI0609, PN0599, PN0935"
18402,,Trindade AM,Alessandra Marques Trindade,PN1758
140,,Rastelli ANS,Alessandra Nara de Souza Rastelli,"AO0082, PN0493, PN0813, PN1019, PN1043, PN1132, PN1382, PN1835"
12823,,Porto AN,Alessandra Nogueira Porto,"AO0024, AO0025, AO0026, PI0087, PI0226, PI0295, PI0315, PI0344, PI0375, PI0438, PI0457, PI0493, PI0538, PI0545, PI0588, PI0598, PI0680, PI0826, PI0832, PI0843, PN0811, PN1275, PN1831"
24469,,Lima ANAN,Alessandra Noleto de Almeida Nunes Lima,"FC025, PN1239"
2719,,Barreto AO,Alessandra Oliveira Barreto,PN1422
28357,,Dalmaz AP,Alessandra Pugsley Dalmaz,PI0365
24718,,Carneiro AR,Alessandra Raid Carneiro,PN1657
783,H2,Reis A,Alessandra Reis,"PI0294, PI0406, PI0412, PN0100, PN0131, PN0141, PN0168, PN0433, PN0472, PN0484, PN0492, PN1101, PN1122, PN1359"
7783,,Reyes A,Alessandra Reyes,PN1698
21241,,Coelho AR,ALESSANDRA ROSSI COELHO,"PN1258, PN1273"
8916,,Cruz ATG,ALESSANDRA TIMPONI GOES CRUZ,PN0025
5008,,Pereira AA,Alessandro Aparecido Pereira,"PO006, PO011"
1325,,Loguercio AD,Alessandro D. Loguercio,"PI0123, PI0406, PI0412, PN0100, PN0114, PN0131, PN0141, PN0168, PN0183, PN0428, PN0446, PN0472, PN0484, PN0492, PN1101, PN1122, PN1123, PN1359"
748,,De-Carli AD,Alessandro Diogo De-Carli,PO012
28922,,Salles AG,ALESSANDRO GUIMARÃES SALLES,"PN0880, PN1012"
778,,Cavalcanti AL,ALESSANDRO LEITE CAVALCANTI,"PI0088, PI0395, PN0071, PN1223, PN1496, PN1508"
20140,,Deana AM,Alessandro Melo Deana,"PN0150, PN0262, PN1322, PN1655"
26138,H1,Freire AM,Alessandro Moreira Freire,"PN0336, PN0372, PN1490"
3625,,Maggioni AR,Alessandro Rodrigo Maggioni,"PI0488, PI0793"
24019,,Schwertner A,Alessandro Schwertner,PN1334
18010,,Marques ATC,ALESSANDRO TADEU CORREA MARQUES,"PI0354, PI0788"
29311,,Rocha AM,Aletheia Moraes Rocha,"PN0416, PN1077"
23223,,Vieira AC,Alex Correia Vieira,PN0825
28293,,Rodrigues AF,Alex de Freitas Rodrigues,"AO0154, AO0161, PN0007"
4474,,Santos AJS,Alex José Souza dos Santos,"PI0103, PI0733, PN0123"
9048,,Pereira ALP,Alex Luiz Pozzobon Pereira,"PN1030, PN1385"
11995,,Herval AM,Álex Moreira Herval,PI0401
2498,,Haas AN,Alex Nogueira Haas,"FC024, PN1187, JL002"
26612,H1,Ribeiro AR,Alex Rodrigues Ribeiro,PN0076
