SIGLA,DIA,HORA,LOCAL
AO0094,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0095,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0096,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0097,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0098,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0099,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0100,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0101,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0102,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0103,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0104,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0105,9/5/2015,13:00 - 16:45 h,Sala Amoreira II
AO0106,9/5/2015,8:00 - 11:30 h,Sala Carvalho I
AO0107,9/5/2015,8:00 - 11:30 h,Sala Carvalho I
AO0108,9/5/2015,8:00 - 11:30 h,Sala Carvalho I
AO0109,9/5/2015,8:00 - 11:30 h,Sala Carvalho I
AO0110,9/5/2015,8:00 - 11:30 h,Sala Carvalho I
AO0111,9/5/2015,8:00 - 11:30 h,Sala Carvalho I
AO0112,9/5/2015,8:00 - 11:30 h,Sala Carvalho I
AO0113,9/5/2015,8:00 - 11:30 h,Sala Carvalho I
AO0114,9/5/2015,8:00 - 11:30 h,Sala Carvalho I
AO0115,9/5/2015,8:00 - 11:30 h,Sala Carvalho I
AO0116,9/5/2015,8:00 - 11:30 h,Sala Carvalho I
AO0117,9/5/2015,13:00 - 16:45 h,Sala Carvalho I
AO0118,9/5/2015,13:00 - 16:45 h,Sala Carvalho I
AO0119,9/5/2015,13:00 - 16:45 h,Sala Carvalho I
AO0120,9/5/2015,13:00 - 16:45 h,Sala Carvalho I
AO0121,9/5/2015,13:00 - 16:45 h,Sala Carvalho I
AO0122,9/5/2015,13:00 - 16:45 h,Sala Carvalho I
AO0123,9/5/2015,13:00 - 16:45 h,Sala Carvalho I
AO0124,9/5/2015,13:00 - 16:45 h,Sala Carvalho I
AO0125,9/5/2015,13:00 - 16:45 h,Sala Carvalho I
AO0126,9/5/2015,13:00 - 16:45 h,Sala Carvalho I
AO0127,9/5/2015,13:00 - 16:45 h,Sala Carvalho I
AO0128,9/5/2015,8:00 - 11:30 h,Sala Seringueira
AO0129,9/5/2015,8:00 - 11:30 h,Sala Seringueira
AO0130,9/5/2015,8:00 - 11:30 h,Sala Seringueira
AO0131,9/5/2015,8:00 - 11:30 h,Sala Seringueira
AO0132,9/5/2015,8:00 - 11:30 h,Sala Seringueira
AO0133,9/5/2015,8:00 - 11:30 h,Sala Seringueira
AO0134,9/5/2015,8:00 - 11:30 h,Sala Seringueira
AO0135,9/5/2015,8:00 - 11:30 h,Sala Seringueira
AO0136,9/5/2015,8:00 - 11:30 h,Sala Seringueira
AO0137,9/5/2015,8:00 - 11:30 h,Sala Seringueira
AO0138,9/5/2015,8:00 - 11:30 h,Sala Seringueira
AO0139,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0140,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0141,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0142,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0143,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0144,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0145,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0146,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0147,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0148,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0149,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0150,9/5/2015,13:00 - 16:45 h,Sala Seringueira
AO0151,9/6/2015,8:00 - 11:30 h,Sala Carvalho I
AO0152,9/6/2015,8:00 - 11:30 h,Sala Carvalho I
AO0153,9/6/2015,8:00 - 11:30 h,Sala Carvalho I
AO0154,9/6/2015,8:00 - 11:30 h,Sala Carvalho I
AO0155,9/6/2015,8:00 - 11:30 h,Sala Carvalho I
AO0156,9/6/2015,8:00 - 11:30 h,Sala Carvalho I
AO0157,9/6/2015,8:00 - 11:30 h,Sala Carvalho I
AO0158,9/6/2015,8:00 - 11:30 h,Sala Carvalho I
AO0159,9/6/2015,13:00 - 16:45 h,Sala Carvalho I
AO0160,9/6/2015,13:00 - 16:45 h,Sala Carvalho I
AO0161,9/6/2015,13:00 - 16:45 h,Sala Carvalho I
AO0162,9/6/2015,13:00 - 16:45 h,Sala Carvalho I
AO0163,9/6/2015,13:00 - 16:45 h,Sala Carvalho I
AO0164,9/6/2015,13:00 - 16:45 h,Sala Carvalho I
AO0165,9/6/2015,13:00 - 16:45 h,Sala Carvalho I
AO0166,9/6/2015,13:00 - 16:45 h,Sala Carvalho I
AO0167,9/6/2015,13:00 - 16:45 h,Sala Carvalho I
AO0168,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0169,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0170,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0171,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0172,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0173,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0174,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0175,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0176,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0177,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0178,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0179,9/6/2015,8:00 - 11:30 h,Sala Amoreira II
AO0180,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0181,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0182,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0183,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0184,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0185,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0186,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0187,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0188,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0189,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0190,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0191,9/6/2015,13:00 - 16:45 h,Sala Amoreira II
AO0192,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0193,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0194,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0195,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0196,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0197,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0198,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0199,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0200,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0201,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0202,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0203,9/6/2015,8:00 - 11:30 h,Sala Amoreira I
AO0204,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
AO0205,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
AO0206,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
AO0207,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
AO0208,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
AO0209,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
AO0210,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
AO0211,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
AO0212,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
AO0213,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
AO0214,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
AO0215,9/6/2015,13:00 - 16:45 h,Sala Amoreira I
COL001,9/5/2015,8:00 - 11:30 h,Sala Manacá
COL002,9/5/2015,8:00 - 11:30 h,Sala Manacá
COL003,9/5/2015,8:00 - 11:30 h,Sala Manacá
COL004,9/5/2015,8:00 - 11:30 h,Sala Manacá
COL005,9/5/2015,8:00 - 11:30 h,Sala Manacá
COL006,9/5/2015,13:00 - 16:30 h,Sala Manacá
